gene	EM-seq_Preleukemia_Control_rep1	EM-seq_Preleukemia_Control_rep2	EM-seq_Preleukemia_Control_rep3	EM-seq_Preleukemia_Tet2_rep1	EM-seq_Preleukemia_Tet2_rep2	EM-seq_Preleukemia_Tet2_rep3	EM-seq_Preleukemia_Rx1_rep1	EM-seq_Preleukemia_Rx1_rep2	EM-seq_Preleukemia_Rx1_rep3	EM-seq_Preleukemia_Rx1Tet2_rep1	EM-seq_Preleukemia_Rx1Tet2_rep2	EM-seq_Preleukemia_Rx1Tet2_rep3	cluster
chrX.103185738	46.15	33.33	45.45	73.33	70.0	83.33	53.33	43.48	90.48	42.11	70.83	90.0	0
chr17.50585289	60.0	70.0	66.67	88.89	84.21	87.5	63.16	73.08	63.16	80.0	74.19	88.0	0
chr5.66087054	12.9	26.09	17.24	46.15	46.0	53.49	10.0	11.36	12.12	40.91	12.9	23.08	0
chr5.92343280	37.5	27.78	23.08	80.0	77.78	84.62	26.92	34.15	24.24	52.17	29.03	31.03	0
chr16.87531829	0.0	0.0	0.0	96.43	95.0	92.68	0.0	0.0	0.0	0.0	0.0	0.0	0
chr11.79006797	18.75	12.5	18.52	35.29	45.83	36.67	12.5	0.0	14.29	10.34	10.53	4.76	0
chr10.126753716	-1.0	0.0	0.0	-1.0	100.0	100.0	-1.0	-1.0	-1.0	-1.0	0.0	-1.0	0
chr3.79173418	-1.0	37.5	31.58	41.67	68.0	68.42	0.0	9.09	10.53	11.11	20.83	29.41	0
chr16.96536950	0.0	0.0	0.0	90.0	93.75	84.21	0.0	0.0	5.26	0.0	0.0	0.0	0
chr13.117195693	57.89	63.64	55.56	80.0	80.0	85.0	57.89	78.95	61.54	66.67	60.71	57.89	0
chr17.28223495	50.0	51.72	45.45	72.0	64.52	73.33	56.25	56.25	37.5	60.0	53.33	50.0	0
chr19.58503856	68.75	72.73	66.67	88.89	93.75	85.71	54.55	88.89	72.22	84.62	80.95	70.0	0
chr8.61747341	47.06	58.33	50.0	78.57	77.78	88.89	37.5	23.08	50.0	38.89	67.86	58.82	0
chr7.67431218	41.18	44.0	36.84	66.67	77.27	73.68	28.57	23.08	23.08	68.18	58.33	64.0	0
chr11.53602632	61.36	61.54	52.78	83.78	88.37	83.33	68.18	51.85	44.74	64.0	55.88	68.97	0
chr13.56002465	40.0	44.44	50.0	75.0	73.68	65.0	42.11	23.81	63.64	52.94	51.85	56.0	0
chr2.181436424	19.05	-1.0	18.75	40.0	38.1	40.0	12.5	4.55	11.11	29.17	26.92	14.29	0
chr13.108365670	35.29	53.33	47.62	100.0	93.1	100.0	68.42	0.0	0.0	0.0	52.63	0.0	0
chr16.87021855	0.0	0.0	0.0	85.71	90.91	89.29	0.0	0.0	0.0	6.25	0.0	0.0	0
chr16.97609232	0.0	0.0	0.0	-1.0	90.48	90.48	0.0	0.0	0.0	0.0	0.0	0.0	0
chr13.108590735	48.72	52.94	51.43	93.1	94.12	91.67	51.61	0.0	0.0	0.0	40.0	0.0	0
chr4.106277041	61.11	69.23	66.67	81.82	87.5	94.12	76.92	50.0	46.15	75.0	68.18	86.96	0
chr12.16092366	20.0	33.33	21.05	50.0	58.82	50.0	0.0	19.05	0.0	35.71	25.0	31.25	0
chr5.96854076	0.0	0.0	0.0	76.92	81.48	76.19	4.76	0.0	0.0	0.0	0.0	0.0	0
chr9.67164417	0.0	5.56	0.0	96.15	96.3	57.89	57.89	52.17	50.0	0.0	3.57	0.0	0
chr5.96854253	0.0	-1.0	0.0	61.54	79.17	73.68	0.0	0.0	0.0	-1.0	0.0	0.0	0
chr5.97001378	0.0	0.0	0.0	88.24	70.97	74.07	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.149020924	54.55	53.85	60.0	83.33	86.67	81.82	83.33	61.54	80.0	71.43	61.9	70.0	0
chr5.84114176	0.0	2.7	0.0	80.77	70.37	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.82776957	58.82	61.11	47.06	84.62	93.55	85.71	66.67	56.0	57.89	61.54	-1.0	50.0	0
chr9.45678366	41.67	25.0	36.84	83.33	80.0	71.43	66.67	48.15	23.81	45.0	66.67	55.0	0
chr16.91787187	0.0	0.0	0.0	77.78	100.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr15.25862081	16.67	14.29	15.62	41.67	48.57	38.1	0.0	0.0	0.0	15.0	8.33	15.79	0
chr16.88867485	12.5	25.0	16.67	100.0	100.0	92.86	23.08	17.86	28.0	22.22	5.56	22.22	0
chr14.64917230	33.33	33.33	28.0	56.25	50.0	55.0	40.0	34.29	12.2	46.15	34.29	44.44	0
chr4.68911099	36.36	28.57	32.26	50.0	56.0	57.14	25.0	72.41	48.0	36.36	37.5	38.1	0
chr10.43211996	16.67	16.67	18.75	45.45	47.37	40.0	41.67	40.0	38.89	33.33	-1.0	33.33	0
chr5.96797038	0.0	0.0	0.0	78.57	88.24	92.31	-1.0	0.0	0.0	0.0	0.0	0.0	0
chr1.60033681	67.5	63.41	57.14	77.78	82.93	88.46	76.0	70.83	62.22	81.82	69.05	75.61	0
chr10.68280987	23.53	14.81	13.89	34.48	41.94	42.86	20.69	21.88	25.71	21.21	35.71	34.78	0
chr4.144622820	71.43	69.23	78.57	100.0	100.0	92.31	88.89	82.14	85.71	87.5	80.95	77.27	0
chr2.27668158	66.67	-1.0	58.82	58.33	90.0	60.0	23.08	15.38	30.77	40.91	40.0	38.1	0
chr5.98027177	11.76	15.38	-1.0	100.0	92.86	-1.0	35.71	30.77	-1.0	-1.0	10.0	0.0	0
chr16.93393217	0.0	0.0	0.0	90.0	94.74	85.29	0.0	0.0	0.0	0.0	0.0	0.0	0
chr16.93022193	0.0	0.0	0.0	95.0	100.0	93.33	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.93369624	0.0	0.0	0.0	55.88	59.46	46.67	0.0	0.0	0.0	0.0	0.0	7.69	0
chr13.57614977	21.43	-1.0	26.67	58.33	50.0	57.14	38.89	-1.0	42.86	57.14	50.0	29.41	0
chr5.78329165	0.0	0.0	0.0	96.0	88.57	96.97	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.97289232	8.33	9.09	18.18	84.62	76.19	68.75	16.67	9.09	-1.0	4.35	21.05	10.0	0
chr16.90913524	64.15	65.79	73.58	97.3	94.64	92.31	76.92	63.46	64.29	66.67	64.06	72.22	0
chr16.90619197	0.0	0.0	0.0	91.3	88.89	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.80461233	5.88	-1.0	0.0	90.91	81.82	87.5	0.0	0.0	0.0	0.0	0.0	0.0	0
chr16.90694080	0.0	0.0	3.03	96.55	96.88	91.3	0.0	5.71	0.0	0.0	0.0	3.85	0
chr5.81309027	0.0	4.0	0.0	84.0	85.19	78.26	0.0	0.0	0.0	3.7	4.76	0.0	0
chr16.96528770	15.79	16.67	19.05	55.56	50.0	44.44	16.67	33.33	27.27	53.85	38.46	27.78	0
chr19.8530101	34.21	30.95	29.79	59.46	64.91	61.54	40.74	22.5	37.5	33.33	33.33	57.89	0
chr16.37124104	59.38	55.56	51.72	80.0	78.57	76.92	52.17	60.71	56.0	64.0	79.49	58.82	0
chr5.97847027	0.0	0.0	0.0	100.0	94.59	92.59	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.89685733	6.06	0.0	0.0	92.31	92.16	95.45	0.0	0.0	0.0	0.0	3.85	0.0	0
chr5.85929982	0.0	0.0	0.0	93.33	90.62	94.74	0.0	0.0	0.0	0.0	0.0	0.0	0
chr18.56790602	20.0	25.0	16.67	70.59	55.56	58.82	35.71	0.0	15.0	34.62	30.43	35.29	0
chr18.39083222	18.18	19.05	13.64	70.37	33.33	50.0	15.62	30.77	5.26	38.46	39.13	33.33	0
chr7.31031889	32.14	27.78	28.57	50.0	52.0	53.85	22.22	16.67	28.0	13.04	5.0	11.11	0
chr9.68266406	6.25	0.0	-1.0	85.71	87.5	46.15	63.16	57.14	52.94	64.29	3.7	0.0	0
chr12.106031892	47.06	-1.0	52.63	91.67	57.89	41.67	21.43	12.5	7.69	23.53	15.79	25.0	0
chr5.98016090	0.0	0.0	0.0	91.18	96.97	97.22	0.0	0.0	0.0	0.0	0.0	0.0	0
chr3.92882830	41.18	47.06	38.46	72.73	71.43	66.67	57.14	61.11	63.16	16.67	68.75	66.67	0
chr8.113825914	51.61	40.0	51.61	92.86	78.95	88.0	54.17	96.15	85.19	0.0	37.14	38.46	0
chr9.68674758	11.9	4.17	13.04	52.94	42.31	40.0	43.75	38.89	31.43	40.0	33.33	10.0	0
chr16.95155733	0.0	0.0	0.0	100.0	93.75	73.33	0.0	0.0	0.0	0.0	0.0	0.0	0
chr15.93528731	68.75	75.0	66.67	92.86	90.91	92.31	80.0	93.33	82.35	93.75	90.0	-1.0	0
chr10.41635419	33.33	29.17	23.81	63.64	47.62	50.0	4.35	6.25	0.0	21.05	15.0	25.93	0
chr18.22850638	58.82	64.29	57.14	81.25	88.46	91.67	80.0	73.33	80.95	75.0	89.66	70.0	0
chr17.6986219	-1.0	76.92	80.77	88.24	92.31	88.24	50.0	40.0	35.29	46.67	29.17	60.87	0
chr16.89753876	0.0	0.0	0.0	100.0	95.45	93.33	5.26	0.0	0.0	0.0	0.0	0.0	0
chr5.97509392	0.0	0.0	0.0	96.67	93.33	96.67	0.0	0.0	0.0	0.0	0.0	3.57	0
chr14.63547344	63.64	65.38	56.52	83.33	91.67	95.65	72.73	65.38	73.91	66.67	73.33	70.0	0
chr2.31446353	35.0	46.43	36.67	64.71	61.9	72.22	26.32	40.74	20.83	60.0	36.0	56.0	0
chr16.89741907	3.57	0.0	0.0	100.0	95.65	94.44	5.0	0.0	0.0	0.0	0.0	0.0	0
chr5.80823435	5.0	0.0	0.0	93.75	100.0	95.45	0.0	0.0	0.0	0.0	0.0	4.55	0
chr11.82038959	33.33	40.0	30.77	73.33	65.22	80.0	41.67	20.0	0.0	33.33	29.41	46.15	0
chr5.91983521	0.0	-1.0	0.0	90.0	100.0	93.75	6.67	0.0	0.0	0.0	5.88	0.0	0
chr16.90594026	0.0	0.0	0.0	97.22	96.67	90.32	0.0	0.0	0.0	0.0	0.0	0.0	0
chr16.91708548	0.0	0.0	0.0	-1.0	94.44	92.31	0.0	0.0	0.0	0.0	0.0	0.0	0
chr2.180659539	41.94	31.82	42.31	60.0	57.14	66.67	57.89	46.67	40.74	38.1	33.33	50.0	0
chr9.123931186	48.39	33.33	40.62	75.0	76.47	68.97	37.5	37.14	22.73	54.55	69.7	45.95	0
chr16.88195783	0.0	0.0	0.0	84.0	93.33	83.33	0.0	3.57	0.0	0.0	0.0	0.0	0
chr5.98530442	0.0	0.0	0.0	94.59	97.37	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr10.122361721	0.0	0.0	0.0	100.0	98.08	94.74	0.0	0.0	0.0	0.0	0.0	0.0	0
chr16.90819278	0.0	0.0	0.0	100.0	100.0	100.0	0.0	2.17	0.0	0.0	0.0	0.0	0
chr10.127213805	0.0	0.0	0.0	91.3	94.74	96.0	0.0	0.0	0.0	0.0	7.41	0.0	0
chr5.75674854	0.0	0.0	0.0	91.67	-1.0	93.75	6.25	0.0	0.0	11.76	7.14	0.0	0
chr16.95090145	0.0	-1.0	0.0	91.3	97.3	80.77	0.0	0.0	0.0	0.0	0.0	0.0	0
chr16.38615919	46.15	42.86	40.91	95.0	93.94	83.33	0.0	0.0	0.0	54.17	50.0	37.5	0
chr5.68009646	77.78	75.0	75.0	100.0	100.0	100.0	73.33	69.23	46.67	83.33	70.59	81.25	0
chr16.87541705	0.0	0.0	0.0	96.0	94.12	92.0	0.0	0.0	0.0	2.17	0.0	0.0	0
chr5.81174769	0.0	0.0	0.0	91.67	90.91	76.19	0.0	0.0	0.0	0.0	0.0	0.0	0
chr16.90678118	0.0	0.0	-1.0	83.33	69.23	83.33	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.93352060	0.0	0.0	0.0	90.0	90.62	82.35	0.0	2.17	0.0	0.0	0.0	0.0	0
chr16.86887439	0.0	0.0	0.0	90.0	93.33	86.96	0.0	0.0	6.25	0.0	5.0	-1.0	0
chr16.96329545	0.0	-1.0	0.0	68.75	70.83	55.0	0.0	0.0	0.0	6.25	0.0	0.0	0
chr18.60665519	-1.0	36.36	37.5	61.54	58.33	66.67	33.33	27.27	20.0	42.86	10.0	27.78	0
chr16.93947024	0.0	0.0	0.0	100.0	100.0	90.0	-1.0	0.0	0.0	0.0	0.0	0.0	0
chr16.89700961	0.0	-1.0	0.0	100.0	83.33	84.21	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.81166708	0.0	0.0	0.0	88.0	84.85	95.83	0.0	0.0	0.0	0.0	0.0	5.56	0
chrX.85872339	13.33	3.85	9.09	35.71	33.33	25.0	22.22	12.5	14.29	25.0	27.27	-1.0	0
chr13.52295999	40.62	37.5	34.29	70.0	68.09	57.69	27.27	27.78	19.44	38.89	35.14	53.33	0
chr5.93196456	0.0	0.0	0.0	100.0	96.88	100.0	0.0	0.0	0.0	0.0	8.0	0.0	0
chr2.128333908	45.45	-1.0	41.67	90.91	88.24	86.67	-1.0	-1.0	41.67	76.92	84.62	66.67	0
chr19.47460753	22.22	18.18	10.53	50.0	52.94	60.0	-1.0	6.25	0.0	-1.0	-1.0	59.09	0
chr5.79244081	3.85	0.0	0.0	66.67	64.29	76.19	0.0	0.0	0.0	0.0	3.23	4.17	0
chr5.90333573	45.45	42.31	54.17	94.12	88.46	100.0	45.45	37.84	33.33	40.91	52.94	47.83	0
chr16.87616840	0.0	0.0	0.0	73.53	88.1	79.31	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.122143723	27.27	-1.0	31.82	64.71	68.42	70.59	18.18	30.0	-1.0	60.0	45.45	31.25	0
chr2.126527697	45.45	53.85	53.85	75.0	65.62	76.0	40.91	51.22	73.08	72.73	62.86	68.0	0
chr9.21718186	63.64	68.75	60.87	90.91	90.48	86.96	75.0	44.44	62.5	75.86	78.79	83.33	0
chr5.80571950	0.0	0.0	0.0	93.55	79.66	75.0	0.0	0.0	0.0	3.33	0.0	0.0	0
chr16.93654327	0.0	0.0	0.0	95.24	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.93022132	0.0	0.0	0.0	93.33	100.0	91.67	-1.0	0.0	0.0	0.0	0.0	0.0	0
chr9.67490473	0.0	0.0	0.0	85.71	84.62	57.89	56.52	63.16	55.17	0.0	0.0	0.0	0
chr5.80144908	0.0	0.0	0.0	100.0	93.33	95.24	0.0	0.0	0.0	0.0	0.0	0.0	0
chr3.68138534	86.67	-1.0	93.33	92.86	81.82	70.0	46.15	40.0	36.36	63.64	50.0	38.46	0
chr5.80836119	0.0	0.0	0.0	97.56	86.54	97.5	0.0	0.0	0.0	0.0	0.0	0.0	0
chr14.118371054	41.38	25.0	26.09	60.0	74.36	65.0	23.81	26.09	15.38	65.38	40.74	24.0	0
chr8.114456974	53.33	41.67	57.89	100.0	88.24	100.0	68.97	100.0	100.0	0.0	66.67	61.54	0
chr10.126846063	0.0	-1.0	0.0	80.0	85.71	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr8.33914662	66.67	59.09	63.16	100.0	88.46	95.65	56.52	55.56	56.0	94.74	80.0	82.61	0
chr8.125787497	70.37	75.0	65.38	100.0	87.5	94.44	71.88	79.49	84.85	73.33	92.31	61.54	0
chr14.101798188	40.62	41.18	33.33	53.12	60.0	64.71	11.11	29.73	18.75	42.86	38.46	16.67	0
chr7.142886465	73.68	76.47	77.78	100.0	100.0	100.0	100.0	77.78	76.92	81.25	100.0	81.82	0
chr3.41463057	58.33	68.18	70.0	85.71	86.36	95.24	72.22	50.0	68.75	87.5	71.43	66.67	0
chr13.45640843	70.0	76.47	66.67	92.86	89.47	100.0	91.67	69.23	46.15	100.0	57.14	63.16	0
chr16.89526249	20.29	23.4	24.19	80.0	89.29	77.78	35.42	25.71	16.36	18.87	20.27	32.76	0
chr16.94510083	9.09	5.56	3.57	100.0	86.67	76.19	4.76	0.0	0.0	0.0	0.0	22.22	0
chr16.94340211	0.0	0.0	0.0	100.0	95.83	87.5	0.0	0.0	0.0	-1.0	0.0	0.0	0
chr5.97793858	0.0	0.0	0.0	87.5	86.11	87.5	0.0	0.0	0.0	2.44	0.0	3.85	0
chr8.6000718	60.0	55.56	62.5	80.0	81.48	81.82	90.48	78.57	60.87	80.0	78.26	50.0	0
chr5.97125113	0.0	0.0	0.0	88.24	81.48	86.36	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.97443695	5.13	0.0	2.94	94.44	96.0	95.65	0.0	3.33	5.41	12.9	13.64	15.62	0
chr5.80670693	3.7	0.0	0.0	50.0	66.67	53.85	8.7	4.35	-1.0	4.76	4.35	4.55	0
chr16.88377945	0.0	4.35	0.0	87.5	100.0	92.31	0.0	0.0	0.0	4.0	0.0	5.0	0
chr16.87260280	0.0	10.0	0.0	93.75	77.27	72.73	0.0	0.0	0.0	0.0	-1.0	8.33	0
chr5.90682816	0.0	0.0	0.0	81.25	93.33	86.21	0.0	0.0	0.0	0.0	3.12	0.0	0
chr16.86966935	0.0	0.0	0.0	80.95	71.88	86.96	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.96596639	0.0	0.0	0.0	92.31	94.12	-1.0	0.0	0.0	0.0	0.0	5.88	-1.0	0
chr9.66132881	2.86	0.0	0.0	73.08	50.0	16.13	39.29	34.09	30.0	2.56	0.0	0.0	0
chr16.90336035	0.0	0.0	0.0	63.64	67.74	76.47	0.0	0.0	0.0	0.0	0.0	0.0	0
chr16.88265893	0.0	6.25	0.0	91.67	78.57	83.33	0.0	0.0	0.0	6.67	0.0	0.0	0
chr4.140365962	70.0	-1.0	69.23	93.33	78.57	91.67	83.33	80.0	75.0	93.33	92.31	-1.0	0
chr5.90355644	0.0	0.0	0.0	70.59	57.69	77.78	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.92378018	0.0	0.0	0.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr1.153902239	60.0	43.75	53.33	75.0	86.67	87.5	64.71	50.0	37.5	43.75	89.66	64.71	0
chr10.126851659	0.0	0.0	0.0	76.47	81.25	66.67	0.0	0.0	0.0	0.0	4.17	0.0	0
chrX.93691190	38.46	23.53	28.0	63.64	60.87	70.0	75.0	-1.0	54.55	-1.0	88.89	72.73	0
chr9.117583722	12.5	21.05	20.0	45.83	48.39	61.54	35.0	26.67	42.31	30.0	41.67	34.78	0
chr10.81648753	38.46	41.67	36.36	72.73	75.0	75.0	43.75	61.11	58.82	76.47	52.63	45.0	0
chr16.95154760	0.0	-1.0	0.0	94.74	88.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr16.91810822	0.0	0.0	0.0	93.33	92.31	80.0	0.0	0.0	0.0	0.0	3.57	0.0	0
chr5.90164643	36.36	26.32	36.84	64.71	53.57	57.89	25.0	21.74	42.31	12.5	52.0	25.0	0
chr5.97277972	0.0	0.0	0.0	100.0	100.0	89.66	0.0	0.0	0.0	8.33	0.0	0.0	0
chr5.101938700	37.5	31.58	17.65	57.14	74.07	68.42	15.79	42.11	22.73	52.38	48.28	29.41	0
chr16.91708549	0.0	0.0	10.0	-1.0	100.0	100.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0
chr5.97162679	0.0	0.0	0.0	100.0	90.91	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.97448417	4.0	0.0	4.35	100.0	93.33	86.67	0.0	0.0	0.0	0.0	0.0	0.0	0
chr16.86940894	0.0	0.0	0.0	100.0	100.0	93.75	-1.0	0.0	5.88	0.0	0.0	0.0	0
chr8.114442493	50.0	46.67	50.0	92.86	90.0	100.0	72.22	62.5	44.44	25.0	52.63	56.25	0
chr13.95567475	66.04	56.82	51.72	77.78	73.47	80.0	39.53	26.09	13.73	8.11	17.54	17.95	0
chr3.89356257	63.16	50.0	50.0	81.25	87.5	78.57	58.33	54.17	44.44	57.14	63.16	36.36	0
chr16.90374738	0.0	-1.0	5.26	-1.0	90.0	82.35	0.0	0.0	0.0	0.0	0.0	0.0	0
chr2.70877870	32.14	32.0	26.32	56.25	51.22	48.0	26.32	13.95	12.82	20.0	18.42	19.23	0
chr7.133224521	71.43	76.47	66.67	100.0	90.91	100.0	80.0	81.82	69.57	90.91	93.75	84.21	0
chr5.86218511	0.0	0.0	0.0	56.25	57.14	59.09	0.0	5.56	0.0	0.0	0.0	0.0	0
chr5.81493077	0.0	0.0	0.0	97.22	97.37	96.3	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.97813974	0.0	0.0	0.0	93.33	96.3	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.81134054	0.0	3.85	0.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr9.67516883	0.0	0.0	4.76	92.31	92.0	64.0	68.42	57.14	58.33	0.0	0.0	4.35	0
chr2.82345690	35.71	38.46	28.57	56.25	64.71	64.29	53.85	33.33	47.62	53.85	40.0	57.14	0
chr19.57526770	37.5	46.15	33.33	57.14	64.29	66.67	36.84	50.0	26.67	52.38	58.33	48.15	0
chr1.86989072	62.5	62.5	64.29	83.33	82.61	87.5	60.0	74.07	75.0	90.48	80.0	-1.0	0
chr16.86185360	0.0	0.0	0.0	94.12	93.75	72.22	0.0	0.0	0.0	5.88	3.7	0.0	0
chr16.91722579	0.0	0.0	0.0	100.0	95.45	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.146282287	58.82	71.43	66.67	92.31	83.33	92.86	78.57	86.36	85.0	77.27	80.0	86.36	0
chr5.86123782	0.0	3.45	22.22	90.0	90.62	90.91	11.11	6.45	12.5	6.06	3.33	13.04	0
chr16.86603275	0.0	-1.0	0.0	91.67	85.71	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr5.82466290	0.0	0.0	0.0	93.75	92.86	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0
chr1.79740275	34.78	40.0	36.84	63.64	77.78	66.67	41.18	48.57	35.48	58.06	55.17	60.61	0
chr5.144545069	64.0	70.59	65.38	83.87	86.21	92.0	68.97	61.54	67.57	58.33	48.48	75.76	0
chr16.93689283	0.0	0.0	0.0	100.0	92.31	96.77	0.0	0.0	0.0	5.88	0.0	0.0	0
chr10.122715567	0.0	0.0	0.0	90.91	89.66	97.3	0.0	0.0	0.0	0.0	0.0	0.0	0
chr3.136087401	6.06	3.85	13.64	34.78	27.27	25.0	21.74	4.35	4.17	26.92	16.67	25.0	0
chr5.80376476	0.0	0.0	0.0	100.0	90.91	96.55	0.0	0.0	0.0	0.0	0.0	0.0	0
chr7.111116703	55.56	55.56	50.0	78.57	72.5	83.87	53.12	44.44	28.57	63.33	74.29	65.71	0
chr5.90628208	7.69	0.0	21.74	50.0	59.09	78.57	0.0	27.78	10.53	21.05	18.18	29.41	0
chr5.93732651	0.0	-1.0	8.33	100.0	93.33	92.31	0.0	-1.0	0.0	0.0	0.0	7.14	0
chr14.122809241	42.22	48.08	41.3	79.49	68.52	70.0	34.21	43.08	23.08	61.22	72.13	51.11	0
chr5.92579777	0.0	0.0	0.0	46.67	44.0	36.84	0.0	0.0	0.0	7.69	0.0	0.0	0
chr5.75589898	50.0	48.28	53.66	72.0	70.59	78.26	70.0	53.57	37.14	69.23	60.98	65.52	0
chr10.122719792	0.0	12.12	0.0	88.0	88.1	85.71	9.38	14.29	9.68	6.45	3.45	0.0	0
chr8.91376637	9.52	0.0	0.0	27.27	30.43	33.33	12.5	0.0	0.0	9.52	24.0	19.05	0
chr16.89545649	0.0	0.0	0.0	100.0	98.18	100.0	0.0	2.08	0.0	2.44	0.0	0.0	0
chr16.89563196	0.0	0.0	0.0	95.83	93.94	100.0	4.0	3.45	0.0	0.0	0.0	3.12	0
chr16.87592465	15.38	36.36	11.76	100.0	100.0	95.0	21.43	27.78	13.33	17.65	18.52	14.29	0
chr16.93424366	0.0	0.0	0.0	88.24	70.0	75.86	0.0	0.0	0.0	0.0	0.0	0.0	0
chr1.121551401	30.0	40.0	41.18	70.0	80.0	75.0	62.5	38.89	40.0	53.33	70.0	68.18	0
